"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"5\""	"6"	"7"	"8"	"9"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_5\""	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_5\""	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"SumAbsDev"	"LargestDev"
"挺身"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
"捐出"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"捕"	0	0	0	2	0	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	-0.064	1.619	-0.308	0	-0.043	-0.027	-0.038	-0.134	2.427	"4"
"排球赛"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"排队"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"探讨"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"接见"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"控"	0	0	0	2	0	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	-0.064	1.619	-0.308	0	-0.043	-0.027	-0.038	-0.134	2.427	"4"
"推动"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"推广"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"提供"	0	0	1	0	5	0	1	0	0	0	0.962	0.509	0.501	1.086	2.09	0.003	0.338	0.211	0.301	0.999	-0.45	-0.23	0.392	-0.513	1.549	-0.001	0.534	-0.093	-0.134	-0.468	4.364	"5"
"提供给"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"提倡"	0	0	0	0	2	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	-0.064	-0.146	1.05	0	-0.043	-0.027	-0.038	-0.134	1.696	"5"
"提醒"	0	0	0	0	2	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	-0.064	-0.146	1.05	0	-0.043	-0.027	-0.038	-0.134	1.696	"5"
"握拳"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"援"	0	0	0	0	0	1	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	3.396	-0.021	-0.013	-0.019	-0.067	3.872	"5\""
"援助"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"援手"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"搜身"	0	0	1	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	1.145	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.589	"3"
"摇头丸"	1	0	0	0	0	0	0	1	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	0.592	-0.066	-0.064	-0.146	-0.308	0	-0.043	1.226	-0.038	-0.134	2.617	"7"
"摇滚"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"摇篮"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
