"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"金融危机"	0	0	0	0	2	0.049	0.749	0.388	0.251	0.563	-0.022	-0.408	-0.187	-0.116	1.102	1.835	"5"
"金钟泌"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"针砭"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"铁路"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"铜器"	0	0	2	0	0	0.049	0.749	0.388	0.251	0.563	-0.022	-0.408	1.424	-0.116	-0.287	2.257	"3"
"铺路石"	0	1	0	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	0.426	-0.094	-0.058	-0.143	0.732	"2"
"锦文桥"	1	0	0	0	0	0.025	0.375	0.194	0.125	0.281	1.608	-0.204	-0.094	-0.058	-0.143	2.107	"1"
"锦标赛"	0	0	0	2	0	0.049	0.749	0.388	0.251	0.563	-0.022	-0.408	-0.187	1.804	-0.287	2.708	"4"
"镇民"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"镇长"	0	0	1	0	0	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	0.712	-0.058	-0.143	1.128	"3"
"长"	0	3	0	0	0	0.074	1.124	0.582	0.376	0.844	-0.033	1.279	-0.281	-0.174	-0.43	2.197	"2"
"长发"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
"长征"	0	0	0	0	1	0.025	0.375	0.194	0.125	0.281	-0.011	-0.204	-0.094	-0.058	0.551	0.918	"5"
