"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"一天天"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"一家人"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"一成"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"一日"	0	0	1	3	1.696	0.74	0.414	1.15	-0.958	-0.355	0.451	1.128	2.892	"4"
"一月"	0	0	1	2	1.272	0.555	0.311	0.862	-0.719	-0.266	0.553	0.698	2.236	"1"
"一样"	4	0	0	0	1.696	0.74	0.414	1.15	1.491	-0.355	-0.19	-0.589	2.625	"1"
"一段"	16	0	0	0	6.784	2.96	1.657	4.599	5.963	-1.421	-0.76	-2.355	10.499	"1"
"一点"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"一生"	2	0	0	0	0.848	0.37	0.207	0.575	0.745	-0.178	-0.095	-0.294	1.312	"1"
"一级股"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"一起"	3	0	0	0	1.272	0.555	0.311	0.862	1.118	-0.266	-0.142	-0.442	1.968	"1"
"一连串"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"一齐"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"七十五"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"七日"	0	0	0	3	1.272	0.555	0.311	0.862	-0.719	-0.266	-0.142	1.624	2.751	"4"
"七月"	0	0	1	0	0.424	0.185	0.104	0.287	-0.24	-0.089	0.985	-0.147	1.461	"3"
"万能"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"丈夫"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"三代"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"三十一日"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"三月"	0	0	0	6	2.544	1.11	0.622	1.725	-1.437	-0.533	-0.285	3.249	5.504	"4"
"上任"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"上厕所"	2	0	0	0	0.848	0.37	0.207	0.575	0.745	-0.178	-0.095	-0.294	1.312	"1"
"上好"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"上学"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"上市"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"上市公司"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"上映"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"上班"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"上课"	2	0	0	0	0.848	0.37	0.207	0.575	0.745	-0.178	-0.095	-0.294	1.312	"1"
"下"	0	0	4	5	3.816	1.665	0.932	2.587	-2.156	-0.799	2.025	1.075	6.055	"1"
